book,map,section,position,name_phrase,lon_dms,lat_dms,lon_decimal,lat_decimal,catalogue_matched,catalogue_ref_id,catalogue_matched,catalogue_ref_id,catalogue_matched,catalogue_ref_id,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score,catalogue_matched,catalogue_ref_id,catalogue_name,catalogue_match_score
2,3,2,8,Setantiorum harbor b,17°20',57°45',17.3333,57.75,yes,2.03.02.10,yes,2.03.02.10,yes,2.03.02.10,yes,2.03.02.10,Hafen der Setantier,100.0,yes,2.03.02.10,Hafen der Setantier,100.0,yes,2.03.02.10,Hafen der Setantier,100.0,yes,2.03.02.10,Hafen der Setantier,100.0,yes,2.03.02.10,Hafen der Setantier,100.0,yes,2.03.02.10,Hafen der Setantier,100.0
2,3,2,9,Belisama estuary,17°30',57°20',17.5,57.3333,yes,2.03.02.11,yes,2.03.02.11,yes,2.03.02.11,yes,2.03.02.11,Belisama-Ästuar,100.0,yes,2.03.02.11,Belisama-Ästuar,100.0,yes,2.03.02.11,Belisama-Ästuar,100.0,yes,2.03.02.11,Belisama-Ästuar,100.0,yes,2.03.02.11,Belisama-Ästuar,100.0,yes,2.03.02.11,Belisama-Ästuar,100.0
2,3,2,10,Seteia estuary,17°00',57°00',17.0,57.0,yes,2.03.02.12,yes,2.03.02.12,yes,2.03.02.12,yes,2.03.02.12,Seteia-Ästuar,100.0,yes,2.03.02.12,Seteia-Ästuar,100.0,yes,2.03.02.12,Seteia-Ästuar,100.0,yes,2.03.02.12,Seteia-Ästuar,100.0,yes,2.03.02.12,Seteia-Ästuar,100.0,yes,2.03.02.12,Seteia-Ästuar,100.0
2,3,2,11,Caeanganorum promontory,15°00',57°00',15.0,57.0,yes,2.03.03.01,yes,2.03.03.01,yes,2.03.03.01,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2,yes,2.03.03.01,Kap der Ganganer (Kap der Ianganer),53.2
2,3,2,12,c mouth of the Toesobis river,15°40',56°20',15.6667,56.3333,yes,2.03.02.13,yes,2.03.02.13,yes,2.03.02.13,yes,2.03.02.13,Toesobis-Mündung,100.0,yes,2.03.02.13,Toesobis-Mündung,100.0,yes,2.03.02.13,Toesobis-Mündung,100.0,yes,2.03.02.13,Toesobis-Mündung,100.0,yes,2.03.02.13,Toesobis-Mündung,100.0,yes,2.03.02.13,Toesobis-Mündung,100.0
2,3,2,13,mouth of the Stuccia river,15°20',55°30',15.3333,55.5,yes,2.03.03.02,yes,2.03.03.02,yes,2.03.03.02,yes,2.03.03.02,Stuccia-Mündung,100.0,yes,2.03.03.02,Stuccia-Mündung,100.0,yes,2.03.03.02,Stuccia-Mündung,100.0,yes,2.03.03.02,Stuccia-Mündung,100.0,yes,2.03.03.02,Stuccia-Mündung,100.0,yes,2.03.03.02,Stuccia-Mündung,100.0
2,3,2,14,mouth of the Tuerobis river,15°00',55°00',15.0,55.0,yes,2.03.03.03,yes,2.03.03.03,yes,2.03.03.03,yes,2.03.03.03,Tuerobis-Mündung,100.0,yes,2.03.03.03,Tuerobis-Mündung,100.0,yes,2.03.03.03,Tuerobis-Mündung,100.0,yes,2.03.03.03,Tuerobis-Mündung,100.0,yes,2.03.03.03,Tuerobis-Mündung,100.0,yes,2.03.03.03,Tuerobis-Mündung,100.0
2,3,2,15,Octapitarum promontory,14°20',54°30',14.3333,54.5,yes,2.03.03.04,yes,2.03.03.04,yes,2.03.03.04,yes,2.03.03.04,Kap Octapitarum,100.0,yes,2.03.03.04,Kap Octapitarum,100.0,yes,2.03.03.04,Kap Octapitarum,100.0,yes,2.03.03.04,Kap Octapitarum,100.0,yes,2.03.03.04,Kap Octapitarum,100.0,yes,2.03.03.04,Kap Octapitarum,100.0
2,3,2,16,mouth of the Tobius river,15°30',54°30',15.5,54.5,yes,2.03.03.05,yes,2.03.03.05,yes,2.03.03.05,yes,2.03.03.05,Tobius-Mündung,100.0,yes,2.03.03.05,Tobius-Mündung,100.0,yes,2.03.03.05,Tobius-Mündung,100.0,yes,2.03.03.05,Tobius-Mündung,100.0,yes,2.03.03.05,Tobius-Mündung,100.0,yes,2.03.03.05,Tobius-Mündung,100.0
2,3,2,17,mouth of the Ratostabius river,16°30',54°30',16.5,54.5,yes,2.03.03.06,yes,2.03.03.06,yes,2.03.03.06,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0,yes,2.03.03.06,Ratostathybius-Mündung (Ratostabius-Mündung),100.0
2,3,2,18,Sabrina estuary,17°20',54°30',17.3333,54.5,yes,2.03.03.07,yes,2.03.03.07,yes,2.03.03.07,yes,2.03.03.07,Sabrina-Ästuar,100.0,yes,2.03.03.07,Sabrina-Ästuar,100.0,yes,2.03.03.07,Sabrina-Ästuar,100.0,yes,2.03.03.07,Sabrina-Ästuar,100.0,yes,2.03.03.07,Sabrina-Ästuar,100.0,yes,2.03.03.07,Sabrina-Ästuar,100.0
2,3,2,19,Uxella estuary,16°00',53°30',16.0,53.5,yes,2.03.03.08,yes,2.03.03.08,yes,2.03.03.08,yes,2.03.03.08,Uxella-Ästuar,100.0,yes,2.03.03.08,Uxella-Ästuar,100.0,yes,2.03.03.08,Uxella-Ästuar,100.0,yes,2.03.03.08,Uxella-Ästuar,100.0,yes,2.03.03.08,Uxella-Ästuar,100.0,yes,2.03.03.08,Uxella-Ästuar,100.0
2,3,2,20,Herculis promontory,14°00',52°45',14.0,52.75,yes,2.03.03.09,yes,2.03.03.09,yes,2.03.03.09,yes,2.03.03.09,Kap des Herakles,88.1,yes,2.03.03.09,Kap des Herakles,88.1,yes,2.03.03.09,Kap des Herakles,88.1,yes,2.03.03.09,Kap des Herakles,88.1,yes,2.03.03.09,Kap des Herakles,88.1,yes,2.03.03.09,Kap des Herakles,88.1
2,3,2,21,Antivestaeum or Bolerium promontory,11°30',52°30',11.5,52.5,yes,2.03.03.10,yes,2.03.03.10,yes,2.03.03.10,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8,yes,2.03.03.10,Kap Antivestaeum bzw. Bolerium,73.8
2,3,2,22,Damnonium or Ocrium promontory,12°00',51°30',12.0,51.5,yes,2.03.03.11,yes,2.03.03.11,yes,2.03.03.11,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0,yes,2.03.03.11,Kap Damnonium bzw. Ocrium,100.0
2,3,3,1,Ocrium promontory is the mouth of the Cenio river,14°00',51°45',14.0,51.75,yes,2.03.04.03,yes,2.03.04.03,yes,2.03.04.03,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0,yes,2.03.04.03,Cenion-Mündung (Cennion-Mündung),100.0
2,3,3,2,mouth of the Tamarus river,15°40',52°10',15.6667,52.1667,yes,2.03.04.04,yes,2.03.04.04,yes,2.03.04.04,yes,2.03.04.04,Tamarus-Mündung,100.0,yes,2.03.04.04,Tamarus-Mündung,100.0,yes,2.03.04.04,Tamarus-Mündung,100.0,yes,2.03.04.04,Tamarus-Mündung,100.0,yes,2.03.04.04,Tamarus-Mündung,100.0,yes,2.03.04.04,Tamarus-Mündung,100.0
2,3,3,3,mouth of the Iscas river,17°40',52°20',17.6667,52.3333,yes,2.03.04.05,yes,2.03.04.05,yes,2.03.04.05,yes,2.03.04.05,Isca-Mündung,74.9,yes,2.03.04.05,Isca-Mündung,74.9,yes,2.03.04.05,Isca-Mündung,74.9,yes,2.03.04.05,Isca-Mündung,74.9,yes,2.03.04.05,Isca-Mündung,74.9,yes,2.03.04.05,Isca-Mündung,74.9
2,3,3,4,mouth of the Alaunus river,17°40',52°40',17.6667,52.6667,yes,2.03.04.06,yes,2.03.04.06,yes,2.03.04.06,yes,2.03.04.06,Alaunus-Mündung,100.0,yes,2.03.04.06,Alaunus-Mündung,100.0,yes,2.03.04.06,Alaunus-Mündung,100.0,yes,2.03.04.06,Alaunus-Mündung,100.0,yes,2.03.04.06,Alaunus-Mündung,100.0,yes,2.03.04.06,Alaunus-Mündung,100.0
2,3,3,5,Magnus Portus,19°00',53°00',19.0,53.0,yes,2.03.04.07,yes,2.03.04.07,yes,2.03.04.07,yes,2.03.04.07,Grosser Hafen,100.0,yes,2.03.04.07,Grosser Hafen,100.0,yes,2.03.04.07,Grosser Hafen,100.0,yes,2.03.04.07,Grosser Hafen,100.0,yes,2.03.04.07,Grosser Hafen,100.0,yes,2.03.04.07,Grosser Hafen,100.0
2,3,3,6,mouth of the Trisantonis river,20°20',53°00',20.3333,53.0,yes,2.03.04.08,yes,2.03.04.08,yes,2.03.04.08,yes,2.03.04.08,Trisanton-Mündung,100.0,yes,2.03.04.08,Trisanton-Mündung,100.0,yes,2.03.04.08,Trisanton-Mündung,100.0,yes,2.03.04.08,Trisanton-Mündung,100.0,yes,2.03.04.08,Trisanton-Mündung,100.0,yes,2.03.04.08,Trisanton-Mündung,100.0
2,3,3,7,New harbor,21°00',53°30',21.0,53.5,yes,2.03.04.09,yes,2.03.04.09,yes,2.03.04.09,yes,2.03.04.09,Neuer Hafen,100.0,yes,2.03.04.09,Neuer Hafen,100.0,yes,2.03.04.09,Neuer Hafen,100.0,yes,2.03.04.09,Neuer Hafen,100.0,yes,2.03.04.09,Neuer Hafen,100.0,yes,2.03.04.09,Neuer Hafen,100.0
2,3,3,8,Cantium promontory,22°00',54°00',22.0,54.0,yes,2.03.04.10,yes,2.03.04.10,yes,2.03.04.10,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0
2,3,4,1,"Tarvedum promontory, or Orcades, by which it is known, Virvedrum promontory",31°00',60°00',31.0,60.0,yes,2.03.05.03,yes,2.03.05.03,yes,2.03.05.03,yes,2.03.05.03,Kap Virvedrum,100.0,yes,2.03.05.03,Kap Virvedrum,100.0,yes,2.03.05.03,Kap Virvedrum,100.0,yes,2.03.05.03,Kap Virvedrum,100.0,yes,2.03.05.03,Kap Virvedrum,100.0,yes,2.03.05.03,Kap Virvedrum,100.0
2,3,4,2,Verubium promontory,30°30',59°40',30.5,59.6667,yes,2.03.05.04,yes,2.03.05.04,yes,2.03.05.04,yes,2.03.05.04,Kap Verubium,100.0,yes,2.03.05.04,Kap Verubium,100.0,yes,2.03.05.04,Kap Verubium,100.0,yes,2.03.05.04,Kap Verubium,100.0,yes,2.03.05.04,Kap Verubium,100.0,yes,2.03.05.04,Kap Verubium,100.0
2,3,4,3,mouth of the Ila river,30°00',59°40',30.0,59.6667,yes,2.03.05.05,yes,2.03.05.05,yes,2.03.05.05,yes,2.03.05.05,Ila-Mündung,100.0,yes,2.03.05.05,Ila-Mündung,100.0,yes,2.03.05.05,Ila-Mündung,100.0,yes,2.03.05.05,Ila-Mündung,100.0,yes,2.03.05.05,Ila-Mündung,100.0,yes,2.03.05.05,Ila-Mündung,100.0
2,3,4,4,a high shore,29°00',59°40',29.0,59.6667,yes,2.03.05.06,yes,2.03.05.06,yes,2.03.05.06,yes,2.03.05.06,Hohe Klippe,100.0,yes,2.03.05.06,Hohe Klippe,100.0,yes,2.03.05.06,Hohe Klippe,100.0,yes,2.03.05.06,Hohe Klippe,100.0,yes,2.03.05.06,Hohe Klippe,100.0,yes,2.03.05.06,Hohe Klippe,100.0
2,3,4,5,Varar estuary,28°00',59°40',28.0,59.6667,yes,2.03.05.08,yes,2.03.05.08,yes,2.03.05.08,yes,2.03.05.08,Varar-Ästuar,54.5,yes,2.03.05.08,Varar-Ästuar,54.5,yes,2.03.05.08,Varar-Ästuar,54.5,yes,2.03.05.08,Varar-Ästuar,54.5,yes,2.03.05.08,Varar-Ästuar,54.5,yes,2.03.05.08,Varar-Ästuar,54.5
2,3,4,6,mouth of the Loxa river,27°30',59°40',27.5,59.6667,yes,2.03.05.07,yes,2.03.05.07,yes,2.03.05.07,yes,2.03.05.07,Loxa-Mündung,62.2,yes,2.03.05.07,Loxa-Mündung,62.2,yes,2.03.05.07,Loxa-Mündung,62.2,yes,2.03.05.07,Loxa-Mündung,62.2,yes,2.03.05.07,Loxa-Mündung,62.2,yes,2.03.05.07,Loxa-Mündung,62.2
2,3,4,7,Tuesis estuary,27°00',59°00',27.0,59.0,yes,2.03.05.09,yes,2.03.05.09,yes,2.03.05.09,yes,2.03.05.09,Tuesis-Ästuar,100.0,yes,2.03.05.09,Tuesis-Ästuar,100.0,yes,2.03.05.09,Tuesis-Ästuar,100.0,yes,2.03.05.09,Tuesis-Ästuar,100.0,yes,2.03.05.09,Tuesis-Ästuar,100.0,yes,2.03.05.09,Tuesis-Ästuar,100.0
2,3,4,8,mouth of the Caelis river,27°00',58°45',27.0,58.75,yes,2.03.05.10,yes,2.03.05.10,yes,2.03.05.10,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0,yes,2.03.05.10,Celnius-Mündung (Caelis-Mündung),100.0
2,3,4,9,Taezalon promontory,27°30',58°30',27.5,58.5,yes,2.03.05.11,yes,2.03.05.11,yes,2.03.05.11,yes,2.03.05.11,Kap der Täzaler,100.0,yes,2.03.05.11,Kap der Täzaler,100.0,yes,2.03.05.11,Kap der Täzaler,100.0,yes,2.03.05.11,Kap der Täzaler,100.0,yes,2.03.05.11,Kap der Täzaler,100.0,yes,2.03.05.11,Kap der Täzaler,100.0
2,3,4,10,mouth of the Deva river,26°00',58°30',26.0,58.5,yes,2.03.05.12,yes,2.03.05.12,yes,2.03.05.12,yes,2.03.05.12,Deva-Mündung,100.0,yes,2.03.05.12,Deva-Mündung,100.0,yes,2.03.05.12,Deva-Mündung,100.0,yes,2.03.05.12,Deva-Mündung,100.0,yes,2.03.05.12,Deva-Mündung,100.0,yes,2.03.05.12,Deva-Mündung,100.0
2,3,4,11,mouth of the Tina river,24°00',58°30',24.0,58.5,yes,2.03.05.14,yes,2.03.05.14,yes,2.03.05.14,yes,2.03.05.14,Tina-Mündung,100.0,yes,2.03.05.14,Tina-Mündung,100.0,yes,2.03.05.14,Tina-Mündung,100.0,yes,2.03.05.14,Tina-Mündung,100.0,yes,2.03.05.14,Tina-Mündung,100.0,yes,2.03.05.14,Tina-Mündung,100.0
2,3,4,12,Boderia estuary,22°30',59°00',22.5,59.0,yes,2.03.05.15,yes,2.03.05.15,yes,2.03.05.15,yes,2.03.05.15,Boderia-Ästuar,96.5,yes,2.03.05.15,Boderia-Ästuar,96.5,yes,2.03.05.15,Boderia-Ästuar,96.5,yes,2.03.05.15,Boderia-Ästuar,96.5,yes,2.03.05.15,Boderia-Ästuar,96.5,yes,2.03.05.15,Boderia-Ästuar,96.5
2,3,4,13,mouth of the Alaunus river,21°20',58°30',21.3333,58.5,yes,2.03.06.01,yes,2.03.06.01,yes,2.03.06.01,yes,2.03.06.01,Alaunus-Mündung,92.7,yes,2.03.06.01,Alaunus-Mündung,92.7,yes,2.03.06.01,Alaunus-Mündung,92.7,yes,2.03.06.01,Alaunus-Mündung,92.7,yes,2.03.06.01,Alaunus-Mündung,92.7,yes,2.03.06.01,Alaunus-Mündung,92.7
2,3,4,14,mouth of the Vedra river,20°10',58°30',20.1667,58.5,yes,2.03.06.02,yes,2.03.06.02,yes,2.03.06.02,yes,2.03.06.02,Vedra-Mündung,100.0,yes,2.03.06.02,Vedra-Mündung,100.0,yes,2.03.06.02,Vedra-Mündung,100.0,yes,2.03.06.02,Vedra-Mündung,100.0,yes,2.03.06.02,Vedra-Mündung,100.0,yes,2.03.06.02,Vedra-Mündung,100.0
2,3,4,15,Dunum bay,20°15',57°30',20.25,57.5,yes,2.03.06.03,yes,2.03.06.03,yes,2.03.06.03,yes,2.03.06.03,Golf von Dunum,100.0,yes,2.03.06.03,Golf von Dunum,100.0,yes,2.03.06.03,Golf von Dunum,100.0,yes,2.03.06.03,Golf von Dunum,100.0,yes,2.03.06.03,Golf von Dunum,100.0,yes,2.03.06.03,Golf von Dunum,100.0
2,3,4,16,Gabrantuicorum bay with many harbors,21°00',57°00',21.0,57.0,yes,2.03.06.04,yes,2.03.06.04,yes,2.03.06.04,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0,yes,2.03.06.04,Hafenreicher Golf der Gabrantoviken,100.0
2,3,4,17,Ocelus promontory,21°15',56°40',21.25,56.6667,yes,2.03.06.05,yes,2.03.06.05,yes,2.03.06.05,yes,2.03.06.05,Kap des Ocelus,100.0,yes,2.03.06.05,Kap des Ocelus,100.0,yes,2.03.06.05,Kap des Ocelus,100.0,yes,2.03.06.05,Kap des Ocelus,100.0,yes,2.03.06.05,Kap des Ocelus,100.0,yes,2.03.06.05,Kap des Ocelus,100.0
2,3,4,18,mouth of the Abi river,21°00',56°30',21.0,56.5,yes,2.03.06.06,yes,2.03.06.06,yes,2.03.06.06,yes,2.03.06.06,Abus-Mündung,100.0,yes,2.03.06.06,Abus-Mündung,100.0,yes,2.03.06.06,Abus-Mündung,100.0,yes,2.03.06.06,Abus-Mündung,100.0,yes,2.03.06.06,Abus-Mündung,100.0,yes,2.03.06.06,Abus-Mündung,100.0
2,3,4,19,Metaris estuary,20°30',55°40',20.5,55.6667,yes,2.03.06.07,yes,2.03.06.07,yes,2.03.06.07,yes,2.03.06.07,Metaris-Ästuar,100.0,yes,2.03.06.07,Metaris-Ästuar,100.0,yes,2.03.06.07,Metaris-Ästuar,100.0,yes,2.03.06.07,Metaris-Ästuar,100.0,yes,2.03.06.07,Metaris-Ästuar,100.0,yes,2.03.06.07,Metaris-Ästuar,100.0
2,3,4,20,mouth of the Gariennus river,20°50',55°40',20.8333,55.6667,yes,2.03.06.08,yes,2.03.06.08,yes,2.03.06.08,yes,2.03.06.08,Gariennus-Mündung,85.1,yes,2.03.06.08,Gariennus-Mündung,85.1,yes,2.03.06.08,Gariennus-Mündung,85.1,yes,2.03.06.08,Gariennus-Mündung,85.1,yes,2.03.06.08,Gariennus-Mündung,85.1,yes,2.03.06.08,Gariennus-Mündung,85.1
2,3,4,21,A promontory,21°15',55°05',21.25,55.0833,yes,2.03.06.09,yes,2.03.06.09,yes,2.03.06.09,yes,2.03.06.09,Landspitze,100.0,yes,2.03.06.09,Landspitze,100.0,yes,2.03.06.09,Landspitze,100.0,yes,2.03.06.09,Landspitze,100.0,yes,2.03.06.09,Landspitze,100.0,yes,2.03.06.09,Landspitze,100.0
2,3,4,22,mouth of the Sidumanis river,20°10',55°00',20.1667,55.0,yes,2.03.06.10,yes,2.03.06.10,yes,2.03.06.10,yes,2.03.06.10,Sidumanis-Mündung,100.0,yes,2.03.06.10,Sidumanis-Mündung,100.0,yes,2.03.06.10,Sidumanis-Mündung,100.0,yes,2.03.06.10,Sidumanis-Mündung,100.0,yes,2.03.06.10,Sidumanis-Mündung,100.0,yes,2.03.06.10,Sidumanis-Mündung,100.0
2,3,4,23,Tamesa estuary,20°30',54°30',20.5,54.5,yes,2.03.06.11,yes,2.03.06.11,yes,2.03.06.11,yes,2.03.06.11,Tamesa-Ästuar,100.0,yes,2.03.06.11,Tamesa-Ästuar,100.0,yes,2.03.06.11,Tamesa-Ästuar,100.0,yes,2.03.06.11,Tamesa-Ästuar,100.0,yes,2.03.06.11,Tamesa-Ästuar,100.0,yes,2.03.06.11,Tamesa-Ästuar,100.0
2,3,4,24,to this the Cantium promontory,22°00',54°00',22.0,54.0,yes,2.03.04.10,yes,2.03.04.10,yes,2.03.04.10,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0,yes,2.03.04.10,Kap Cantium,100.0
2,3,5,1,"The Novantae dwell on the side toward the north below the peninsula of this name, among whom are the following towns: Locopibia",19°00',60°20',19.0,60.3333,yes,2.03.07.03,yes,2.03.07.03,yes,2.03.07.03,yes,2.03.07.03,Lucopibia,100.0,yes,2.03.07.03,Lucopibia,100.0,yes,2.03.07.03,Lucopibia,100.0,yes,2.03.07.03,Lucopibia,100.0,yes,2.03.07.03,Lucopibia,100.0,yes,2.03.07.03,Lucopibia,100.0
2,3,5,2,Rerigonium,20°10',60°40',20.1667,60.6667,yes,2.03.07.04,yes,2.03.07.04,yes,2.03.07.04,yes,2.03.07.04,Rerigonium,100.0,yes,2.03.07.04,Rerigonium,100.0,yes,2.03.07.04,Rerigonium,100.0,yes,2.03.07.04,Rerigonium,100.0,yes,2.03.07.04,Rerigonium,100.0,yes,2.03.07.04,Rerigonium,100.0
2,3,6,1,"Below are the Selgovae, among whom are the following towns: Carbantorigum",19°00',59°30',19.0,59.5,yes,2.03.08.02,yes,2.03.08.02,yes,2.03.08.02,yes,2.03.08.02,Carbantorigum,92.4,yes,2.03.08.02,Carbantorigum,92.4,yes,2.03.08.02,Carbantorigum,92.4,yes,2.03.08.02,Carbantorigum,92.4,yes,2.03.08.02,Carbantorigum,92.4,yes,2.03.08.02,Carbantorigum,92.4
2,3,6,2,Uxellum,18°30',59°20',18.5,59.3333,yes,2.03.08.03,yes,2.03.08.03,yes,2.03.08.03,yes,2.03.08.03,Uxellum (Uzellum),100.0,yes,2.03.08.03,Uxellum (Uzellum),100.0,yes,2.03.08.03,Uxellum (Uzellum),100.0,yes,2.03.08.03,Uxellum (Uzellum),100.0,yes,2.03.08.03,Uxellum (Uzellum),100.0,yes,2.03.08.03,Uxellum (Uzellum),100.0
2,3,6,3,Corda,20°00',59°40',20.0,59.6667,yes,2.03.08.04,yes,2.03.08.04,yes,2.03.08.04,yes,2.03.08.04,Corda,100.0,yes,2.03.08.04,Corda,100.0,yes,2.03.08.04,Corda,100.0,yes,2.03.08.04,Corda,100.0,yes,2.03.08.04,Corda,100.0,yes,2.03.08.04,Corda,100.0
2,3,6,4,Trimontium,19°00',59°00',19.0,59.0,yes,2.03.08.05,yes,2.03.08.05,yes,2.03.08.05,yes,2.03.08.05,Trimontium,100.0,yes,2.03.08.05,Trimontium,100.0,yes,2.03.08.05,Trimontium,100.0,yes,2.03.08.05,Trimontium,100.0,yes,2.03.08.05,Trimontium,100.0,yes,2.03.08.05,Trimontium,100.0
2,3,7,1,"these toward the east, but more northerly, are the Damnoni, among whom are the following towns: Colanica",20°45',59°10',20.75,59.1667,yes,2.03.09.02,yes,2.03.09.02,yes,2.03.09.02,yes,2.03.09.02,Colania (Colanica),88.5,yes,2.03.09.02,Colania (Colanica),88.5,yes,2.03.09.02,Colania (Colanica),88.5,yes,2.03.09.02,Colania (Colanica),88.5,yes,2.03.09.02,Colania (Colanica),88.5,yes,2.03.09.02,Colania (Colanica),88.5
2,3,7,2,Vindogara,21°20',60°00',21.3333,60.0,yes,2.03.09.03,yes,2.03.09.03,yes,2.03.09.03,yes,2.03.09.03,Vindogara,84.7,yes,2.03.09.03,Vindogara,84.7,yes,2.03.09.03,Vindogara,84.7,yes,2.03.09.03,Vindogara,84.7,yes,2.03.09.03,Vindogara,84.7,yes,2.03.09.03,Vindogara,84.7
2,3,7,3,Coria,21°30',59°20',21.5,59.3333,yes,2.03.09.04,yes,2.03.09.04,yes,2.03.09.04,yes,2.03.09.04,Coria,100.0,yes,2.03.09.04,Coria,100.0,yes,2.03.09.04,Coria,100.0,yes,2.03.09.04,Coria,100.0,yes,2.03.09.04,Coria,100.0,yes,2.03.09.04,Coria,100.0
2,3,7,4,Alauna,22°45',59°50',22.75,59.8333,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,Alauna,77.1,yes,2.03.09.05,Alauna,77.1,yes,2.03.09.05,Alauna,77.1,yes,2.03.09.05,Alauna,77.1,yes,2.03.09.05,Alauna,77.1,yes,2.03.09.05,Alauna,77.1
2,3,7,5,Lindum,23°00',59°30',23.0,59.5,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,Alauna,50.9,yes,2.03.09.05,Alauna,50.9,yes,2.03.09.05,Alauna,50.9,yes,2.03.09.05,Alauna,50.9,yes,2.03.09.05,Alauna,50.9,yes,2.03.09.05,Alauna,50.9
2,3,7,6,Victoria,23°30',59°00',23.5,59.0,yes,2.03.09.07,yes,2.03.09.07,yes,2.03.09.07,yes,2.03.09.07,Victoria,100.0,yes,2.03.09.07,Victoria,100.0,yes,2.03.09.07,Victoria,100.0,yes,2.03.09.07,Victoria,100.0,yes,2.03.09.07,Victoria,100.0,yes,2.03.09.07,Victoria,100.0
2,3,7,7,"Further south are the Otalini, among whom are the following towns: Coria",20°10',59°00',20.1667,59.0,yes,2.03.09.02,yes,2.03.09.02,yes,2.03.09.02,yes,2.03.09.02,Colania (Colanica),62.1,yes,2.03.09.02,Colania (Colanica),62.1,yes,2.03.09.02,Colania (Colanica),62.1,yes,2.03.09.02,Colania (Colanica),62.1,yes,2.03.09.02,Colania (Colanica),62.1,yes,2.03.09.02,Colania (Colanica),62.1
2,3,7,8,Alauna,23°00',58°40',23.0,58.6667,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,yes,2.03.09.05,Alauna,58.0,yes,2.03.09.05,Alauna,58.0,yes,2.03.09.05,Alauna,58.0,yes,2.03.09.05,Alauna,58.0,yes,2.03.09.05,Alauna,58.0,yes,2.03.09.05,Alauna,58.0
